20200722-2147,100.00%
20200728-1451,100.00%
20200729-2053,100.00%
20200805-1229,100.00%
20200805-1702,100.00%
20200806-0942,100.00%
20200806-1152,100.00%
20200806-1157,100.00%
20200810-1859,100.00%
20200810-1948,100.00%
20200810-2308,100.00%
20200811-1026,100.00%
20200811-1028,100.00%
20200811-1252,100.00%
20200811-1546,100.00%
20200811-1630,100.00%
20200811-1732,100.00%
20200812-1454,100.00%
20200812-1510,100.00%
20200812-1859,100.00%
20200812-1956,100.00%
20200812-2049,100.00%
20200812-2149,100.00%
20200812-2233,100.00%
20200813-1334,100.00%
20200813-1518,100.00%
20200813-1813,100.00%
20200813-2048,100.00%
20200813-2247,100.00%
20200814-0820,100.00%
20200814-0831,100.00%
20200814-1047,100.00%
20200814-1520,100.00%
20200817-2137,100.00%
20200818-0943,100.00%
20200818-2031,100.00%
20200819-1619,100.00%
20200819-2059,100.00%
20200821-1036,100.00%
20200821-1455,100.00%
20200821-1854,100.00%
20200821-2046,100.00%
20200821-2139,100.00%
20200821-2157,100.00%
20200821-2306,100.00%
20200822-0141,100.00%
20200822-0345,100.00%
20200822-1145,100.00%
20200822-1451,100.00%
20200822-2001,100.00%
20200824-1617,100.00%
20200824-1654,100.00%
20200825-0124,100.00%
20200825-0210,100.00%
20200825-0438,100.00%
20200825-1404,27.27%
20200826-0312,100.00%
20200825-1404,100.00%
20200921-1919,100.00%
20200826-1532,100.00%
20200921-1919,100.00%
